region,postcode_sector,year,avg_price,volume
East Midlands,LN6 4,2023,151000,8
East Midlands,LN6 5,2023,159000,57
East Midlands,LN6 7,2023,130000,120
East Midlands,LN6 8,2023,149000,163
East Midlands,LN6 9,2023,177000,271
East Midlands,LN7 6,2023,169000,85
East Midlands,LN8 2,2023,192000,20
East Midlands,LN8 3,2023,157000,166
East Midlands,LN8 5,2023,173000,51
East Midlands,LN8 6,2023,153000,47
East Midlands,LN9 5,2023,175000,87
East Midlands,LN9 6,2023,136000,89
East Midlands,NG1 1,2023,131000,79
East Midlands,NG1 2,2023,157000,7
East Midlands,NG1 3,2023,142000,30
East Midlands,NG1 4,2023,168000,12
East Midlands,NG1 5,2023,240000,48
East Midlands,NG1 6,2023,201000,17
East Midlands,NG1 7,2023,140000,11
East Midlands,NG10 1,2023,105000,157
East Midlands,NG10 2,2023,126000,87
East Midlands,NG10 3,2023,134000,248
East Midlands,NG10 4,2023,112000,172
East Midlands,NG10 5,2023,133000,151
East Midlands,NG11 0,2023,207000,31
East Midlands,NG11 6,2023,220000,140
East Midlands,NG11 7,2023,171000,82
East Midlands,NG11 8,2023,108000,133
East Midlands,NG11 9,2023,98000,83
East Midlands,NG12 1,2023,256000,45
East Midlands,NG12 2,2023,212000,109
East Midlands,NG12 3,2023,184000,166
East Midlands,NG12 4,2023,365000,105
East Midlands,NG12 5,2023,282000,131
East Midlands,NG13 0,2023,208000,78
East Midlands,NG13 7,2023,375000,11
East Midlands,NG13 8,2023,195000,232
East Midlands,NG13 9,2023,278000,63
East Midlands,NG14 5,2023,244000,83
East Midlands,NG14 6,2023,187000,122
East Midlands,NG14 7,2023,270000,71
East Midlands,NG15 0,2023,108000,48
East Midlands,NG15 6,2023,138000,219
East Midlands,NG15 7,2023,110000,214
East Midlands,NG15 8,2023,227000,122
East Midlands,NG15 9,2023,261000,110
East Midlands,NG16 1,2023,179000,142
East Midlands,NG16 2,2023,127000,246
East Midlands,NG16 3,2023,110000,137
East Midlands,NG16 4,2023,99000,73
East Midlands,NG16 5,2023,134000,125
East Midlands,NG16 6,2023,113000,192
East Midlands,NG17 1,2023,124000,115
East Midlands,NG17 2,2023,102000,164
East Midlands,NG17 3,2023,109000,135
East Midlands,NG17 4,2023,88000,151
East Midlands,NG17 5,2023,129000,77
East Midlands,NG17 7,2023,89000,94
East Midlands,NG17 8,2023,113000,195
East Midlands,NG17 9,2023,120000,84
East Midlands,NG18 1,2023,57000,21
East Midlands,NG18 2,2023,79000,138
East Midlands,NG18 3,2023,120000,124
East Midlands,NG18 4,2023,151000,281
East Midlands,NG18 5,2023,107000,135
East Midlands,NG18 6,2023,263000,19
East Midlands,NG19 0,2023,117000,204
East Midlands,NG19 6,2023,98000,152
East Midlands,NG19 7,2023,125000,132
East Midlands,NG19 8,2023,104000,123
East Midlands,NG19 9,2023,111000,154
East Midlands,NG2 1,2023,83000,27
East Midlands,NG2 2,2023,104000,81
East Midlands,NG2 3,2023,130000,47
East Midlands,NG2 4,2023,79000,159
East Midlands,NG2 5,2023,243000,162
East Midlands,NG2 6,2023,217000,243
East Midlands,NG2 7,2023,233000,274
East Midlands,NG20 0,2023,101000,164
East Midlands,NG20 8,2023,88000,146
East Midlands,NG20 9,2023,89000,82
East Midlands,NG21 0,2023,101000,189
East Midlands,NG21 9,2023,162000,163
East Midlands,NG22 0,2023,184000,63
East Midlands,NG22 8,2023,212000,130
East Midlands,NG22 9,2023,121000,171
East Midlands,NG23 5,2023,242000,106
East Midlands,NG23 6,2023,220000,62
East Midlands,NG23 7,2023,212000,95
East Midlands,NG24 1,2023,113000,168
East Midlands,NG24 2,2023,155000,191
East Midlands,NG24 3,2023,154000,305
East Midlands,NG24 4,2023,130000,220
East Midlands,NG24 5,2023,319000,8
East Midlands,NG25 0,2023,255000,142
East Midlands,NG3 1,2023,104000,33
East Midlands,NG3 2,2023,105000,71
East Midlands,NG3 3,2023,84000,73
East Midlands,NG3 4,2023,173000,39
East Midlands,NG3 5,2023,194000,222
East Midlands,NG3 6,2023,144000,184
East Midlands,NG3 7,2023,121000,78
East Midlands,NG31 6,2023,92000,65
East Midlands,NG31 7,2023,113000,231
East Midlands,NG31 8,2023,158000,280
East Midlands,NG31 9,2023,134000,206
East Midlands,NG32 1,2023,292000,47
East Midlands,NG32 2,2023,268000,47
East Midlands,NG32 3,2023,220000,70
East Midlands,NG33 4,2023,212000,68
East Midlands,NG33 5,2023,183000,83
East Midlands,NG34 0,2023,197000,103
East Midlands,NG34 6,2023,191000,2
East Midlands,NG34 7,2023,128000,274
East Midlands,NG34 8,2023,156000,196
East Midlands,NG34 9,2023,149000,212
East Midlands,NG4 1,2023,130000,170
East Midlands,NG4 2,2023,119000,173
East Midlands,NG4 3,2023,127000,154
East Midlands,NG4 4,2023,146000,131
East Midlands,NG5 1,2023,118000,152
East Midlands,NG5 2,2023,131000,121
East Midlands,NG5 3,2023,135000,74
East Midlands,NG5 4,2023,163000,130
East Midlands,NG5 5,2023,106000,153
